ImageID,ans,HumanID
../input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,10,0
../input/data/train/images/000001_female_Asian_45/mask2.jpg,4,0
../input/data/train/images/000001_female_Asian_45/normal.jpg,16,0
../input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,10,1
../input/data/train/images/000002_female_Asian_52/mask3.jpg,4,1
../input/data/train/images/000002_female_Asian_52/normal.jpg,16,1
../input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,7,2
../input/data/train/images/000004_male_Asian_54/mask3.jpg,1,2
../input/data/train/images/000004_male_Asian_54/normal.jpg,13,2
../input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,10,3
../input/data/train/images/000005_female_Asian_58/mask5.jpg,4,3
../input/data/train/images/000005_female_Asian_58/normal.jpg,16,3
../input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,10,4
../input/data/train/images/000006_female_Asian_59/mask5.jpg,4,4
../input/data/train/images/000006_female_Asian_59/normal.jpg,16,4
../input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,10,5
../input/data/train/images/000007_female_Asian_58/mask5.jpg,4,5
../input/data/train/images/000007_female_Asian_58/normal.jpg,16,5
../input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,10,6
../input/data/train/images/000008_female_Asian_58/mask2.jpg,4,6
../input/data/train/images/000008_female_Asian_58/normal.jpg,16,6
../input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,10,7
../input/data/train/images/000009_female_Asian_56/mask4.jpg,4,7
../input/data/train/images/000009_female_Asian_56/normal.jpg,16,7
../input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,10,8
../input/data/train/images/000010_female_Asian_58/mask1.jpg,4,8
../input/data/train/images/000010_female_Asian_58/normal.jpg,16,8
../input/data/train/images/000012_male_Asian_57/incorrect_mask.jpg,7,9
../input/data/train/images/000012_male_Asian_57/mask5.jpg,1,9
../input/data/train/images/000012_male_Asian_57/normal.jpg,13,9
../input/data/train/images/000014_female_Asian_58/incorrect_mask.jpg,10,10
../input/data/train/images/000014_female_Asian_58/mask1.jpg,4,10
../input/data/train/images/000014_female_Asian_58/normal.jpg,16,10
../input/data/train/images/000015_male_Asian_55/incorrect_mask.jpg,7,11
../input/data/train/images/000015_male_Asian_55/mask1.jpg,1,11
../input/data/train/images/000015_male_Asian_55/normal.jpg,13,11
../input/data/train/images/000016_female_Asian_58/incorrect_mask.jpg,10,12
../input/data/train/images/000016_female_Asian_58/mask5.jpg,4,12
../input/data/train/images/000016_female_Asian_58/normal.jpg,16,12
../input/data/train/images/000018_female_Asian_59/incorrect_mask.jpg,10,13
../input/data/train/images/000018_female_Asian_59/mask3.jpg,4,13
../input/data/train/images/000018_female_Asian_59/normal.jpg,16,13
../input/data/train/images/000019_female_Asian_57/incorrect_mask.jpg,10,14
../input/data/train/images/000019_female_Asian_57/mask4.jpg,4,14
../input/data/train/images/000019_female_Asian_57/normal.jpg,16,14
../input/data/train/images/000020_female_Asian_50/incorrect_mask.jpg,10,15
../input/data/train/images/000020_female_Asian_50/mask4.jpg,4,15
../input/data/train/images/000020_female_Asian_50/normal.jpg,16,15
../input/data/train/images/000021_female_Asian_54/incorrect_mask.jpg,10,16
../input/data/train/images/000021_female_Asian_54/mask2.jpg,4,16
../input/data/train/images/000021_female_Asian_54/normal.jpg,16,16
../input/data/train/images/000022_female_Asian_58/incorrect_mask.jpg,10,17
../input/data/train/images/000022_female_Asian_58/mask1.jpg,4,17
../input/data/train/images/000022_female_Asian_58/normal.jpg,16,17
../input/data/train/images/000023_female_Asian_55/incorrect_mask.jpg,10,18
../input/data/train/images/000023_female_Asian_55/mask5.jpg,4,18
../input/data/train/images/000023_female_Asian_55/normal.jpg,16,18
../input/data/train/images/000024_female_Asian_58/incorrect_mask.jpg,10,19
../input/data/train/images/000024_female_Asian_58/mask2.jpg,4,19
../input/data/train/images/000024_female_Asian_58/normal.jpg,16,19
../input/data/train/images/000025_female_Asian_49/incorrect_mask.jpg,10,20
../input/data/train/images/000025_female_Asian_49/mask2.jpg,4,20
../input/data/train/images/000025_female_Asian_49/normal.jpg,16,20
../input/data/train/images/000026_female_Asian_56/incorrect_mask.jpg,10,21
../input/data/train/images/000026_female_Asian_56/mask4.jpg,4,21
../input/data/train/images/000026_female_Asian_56/normal.jpg,16,21
../input/data/train/images/000028_female_Asian_58/incorrect_mask.jpg,10,22
../input/data/train/images/000028_female_Asian_58/mask4.jpg,4,22
../input/data/train/images/000028_female_Asian_58/normal.jpg,16,22
../input/data/train/images/000029_female_Asian_58/incorrect_mask.jpg,10,23
../input/data/train/images/000029_female_Asian_58/mask1.jpg,4,23
../input/data/train/images/000029_female_Asian_58/normal.jpg,16,23
../input/data/train/images/000030_female_Asian_55/incorrect_mask.jpg,10,24
../input/data/train/images/000030_female_Asian_55/mask3.jpg,4,24
../input/data/train/images/000030_female_Asian_55/normal.jpg,16,24
../input/data/train/images/000031_female_Asian_54/incorrect_mask.jpg,10,25
../input/data/train/images/000031_female_Asian_54/mask4.jpg,4,25
../input/data/train/images/000031_female_Asian_54/normal.jpg,16,25
../input/data/train/images/000033_male_Asian_57/incorrect_mask.jpg,7,26
../input/data/train/images/000033_male_Asian_57/mask1.jpg,1,26
../input/data/train/images/000033_male_Asian_57/normal.jpg,13,26
../input/data/train/images/000034_female_Asian_55/incorrect_mask.jpg,10,27
../input/data/train/images/000034_female_Asian_55/mask4.jpg,4,27
../input/data/train/images/000034_female_Asian_55/normal.jpg,16,27
../input/data/train/images/000036_female_Asian_58/incorrect_mask.jpg,10,28
../input/data/train/images/000036_female_Asian_58/mask2.jpg,4,28
../input/data/train/images/000036_female_Asian_58/normal.jpg,16,28
../input/data/train/images/000037_female_Asian_58/incorrect_mask.jpg,10,29
../input/data/train/images/000037_female_Asian_58/mask5.jpg,4,29
../input/data/train/images/000037_female_Asian_58/normal.jpg,16,29
../input/data/train/images/000038_female_Asian_58/incorrect_mask.jpg,10,30
../input/data/train/images/000038_female_Asian_58/mask1.jpg,4,30
../input/data/train/images/000038_female_Asian_58/normal.jpg,16,30
../input/data/train/images/000039_female_Asian_57/incorrect_mask.jpg,10,31
../input/data/train/images/000039_female_Asian_57/mask5.jpg,4,31
../input/data/train/images/000039_female_Asian_57/normal.jpg,16,31
../input/data/train/images/000040_female_Asian_57/incorrect_mask.jpg,10,32
../input/data/train/images/000040_female_Asian_57/mask4.jpg,4,32
../input/data/train/images/000040_female_Asian_57/normal.jpg,16,32
