ImageID,ans,type
../input/data/train/images/001617_female_Asian_37/incorrect_mask.jpg,111,train
../input/data/train/images/006921_male_Asian_19/incorrect_mask.jpg,100,train
../input/data/train/images/001900_female_Asian_60/normal.jpg,212,val
../input/data/train/images/001715_male_Asian_43/mask3.jpg,001,train
../input/data/train/images/003550_male_Asian_48/mask3.jpg,001,val
../input/data/train/images/003429_female_Asian_51/mask1.jpg,011,train
../input/data/train/images/003706_male_Asian_60/incorrect_mask.jpg,102,train
../input/data/train/images/001625_male_Asian_60/incorrect_mask.jpg,102,val
../input/data/train/images/003286_female_Asian_19/incorrect_mask.jpg,110,train
../input/data/train/images/004276_female_Asian_60/incorrect_mask.jpg,112,val
../input/data/train/images/004322_female_Asian_60/normal.jpg,212,train
../input/data/train/images/001186_female_Asian_50/incorrect_mask.jpg,111,train
../input/data/train/images/001084_female_Asian_26/incorrect_mask.jpg,110,train
../input/data/train/images/004436_male_Asian_22/normal.jpg,200,train
../input/data/train/images/001568_male_Asian_60/mask4.jpg,002,train
../input/data/train/images/003017_female_Asian_19/normal.jpg,210,train
../input/data/train/images/006393_male_Asian_19/incorrect_mask.jpg,100,train
../input/data/train/images/003435_female_Asian_52/incorrect_mask.jpg,111,train
../input/data/train/images/003766_male_Asian_38/mask1.jpg,001,train
../input/data/train/images/003569_female_Asian_60/mask1.jpg,012,val
../input/data/train/images/003720_male_Asian_54/incorrect_mask.jpg,101,train
../input/data/train/images/003742_female_Asian_60/normal.jpg,212,train
../input/data/train/images/003727_male_Asian_60/incorrect_mask.jpg,102,train
../input/data/train/images/003921_male_Asian_59/incorrect_mask.jpg,101,train
../input/data/train/images/003849_male_Asian_57/incorrect_mask.jpg,101,train
../input/data/train/images/003528_male_Asian_60/incorrect_mask.jpg,102,train
../input/data/train/images/005033_male_Asian_60/incorrect_mask.jpg,102,val
../input/data/train/images/006136_male_Asian_19/normal.png,200,val
../input/data/train/images/006943_male_Asian_20/incorrect_mask.jpg,100,train
../input/data/train/images/003400_female_Asian_19/normal.jpg,210,train
../input/data/train/images/001570_male_Asian_60/incorrect_mask.jpg,102,train
